,Date,Time,Category,Sub-Category,Headline,Entire_News,Author,News_Link
0,"April 9, 2022",19:11 IST,India, ,'Enough stock to blow area in 10 minutes': TMC leader adds fire around Bengal's crude bomb recoveries,"A viral video of a TMC leader claiming to have ""enough stock to blow up an area in 10 minutes"" from West Bengal's Uttar Dinajpur has sparked outrage amid reports of illegal crude bomb recoveries in the state.""We have enough bombs and ammunition that can blow up an area in 10 minutes. Don't be concerned about the availability of bombs,"" said Shakir Ahmed, who serves as the Upa Pradhan (Deputy Head) of Chopra’s Haptiagaach gram panchayat in the Islampur subdivision in Uttar Dinajpur.Condemning the incident, a senior TMC leader and former MP Kunal Ghosh said that the party does not support any of Shakir's comments.The local Trinamool leadership, led by Shahjahan Shiraz, has demanded that the individual in question be arrested immediately. Shakir, on the other hand, remains at large.Meanwhile, reacting to the viral video, district BJP leader Surajit Sen said, “There is a huge stockpile of explosives in Islampur sub-division. There is an internal conflict running within the party line. It is shameful that the administration is unable to deal with such people and seize their weapons.""(Inputs from Joydeep Bag)READ | TMC panchayat leader killed in bomb attack in West Bengal's BirbhumREAD | BJP MP Jagannath Sarkar allegedly attacked in West Bengal after watching ‘The Kashmir Files’",Suryagni Roy,https://www.indiatoday.in/india/story/-enough-stock-to-blow-area-in-10-minutes-tmc-leader-adds-fire-around-bengal-s-crude-bomb-recoveries-1935463-2022-04-09
1,"April 10, 2022",01:44 IST,India, ,"Offered to make Mayawati CM candidate in UP, but ...: Rahul Gandhi","During the UP Assembly election, Congress had offered to form an alliance with BSP chief Mayawati and make her the CM candidate, but she didn't even respond, said Congress leader Rahul Gandhi.Speaking at a book launch event in Delhi on Saturday, Rahul Gandhi said that Mayawati gave an open road to the BJP because of ""the CBI, the ED and Pegasus"".He exhorted Dalits to fight for their rights by treading the path shown by B R Ambedkar and Mahatma Gandhi.Rahul Gandhi said, ""We have to protect the Constitution. To save the Constitution, we have to protect our institutions. But all the institutions are in the hands of the RSS.""Noting that if institutions are not controlled by the people, neither is the country, the Congress leader said, ""This is not a new assault. It started the day when Mahatma Gandhi was killed by bullets.""Rahul Gandhi alleged that ""Three-four billionaires, besides CBI, ED and Pegasus control the political system"". ""I am telling you. If I had taken even one rupee, I would not have been able to deliver this speech. I would sit there silent in the corner, unable to deliver this speech.""Meanwhile, the Congress leader also said that he has no interest in power. ""Instead, I try to understand the country. Some politicians are in pursuit of power. They ponder about attaining power throughout...,"" he said, adding, ""I was born at the centre of power but honestly, I don't have an interest in it.Rahul Gandhi said, ""Look at the condition of the economy today, look at unemployment. So it is time to fight. Ambedkar ji and Gandhi ji had shown the way, which is not easy but needs to be followed.""READ | Congress's young problem, and how Ahmed Patel's son has just added to it",Supriya Bhardwaj,https://www.indiatoday.in/india/story/cong-had-offered-to-make-mayawati-cm-candidate-in-up-but-she-didnt-even-reply-rahul-gandhi-1935535-2022-04-09
2,"April 9, 2022",19:17 IST,India, ,"Prices of food, shelter, essentials skyrocket in India, commoners under pressure","Prices of several essential items are on the rise and it is hurting the common man the most. Soaring prices of cars, cement, fuel, and housing are also adding to people's woes.""When life gives you lemons, make lemonade"". But what can one do when lemons begin to cost Rs 300-400 per kg? Making lemonade at this price is not an easy task! And it's not just lemons, the prices of cumin, coriander, and chilies have risen by 40-60 per cent.Read | Lemon price hike memes and jokes are trending online. Best onesThe price of beans, a common vegetable in Indian households, has risen to Rs 120/kg. Cauliflower, which was selling for Rs 40/kg a month ago, is now double that price at Rs 80/kg.The common man's woes aren't limited to vegetable prices; milk prices have risen in recent months as well.On February 28, Amul announced that it was raising milk prices by Rs 2/litre, resulting in a 4 per cent increase in MRPs. Mother Dairy followed suit, raising milk prices by Rs 2/litre. The price of beans, a common vegetable in Indian households, has risen to Rs 120/kg. Cauliflower, which was selling for Rs 40/kg a month ago, is now double that price at Rs 80/kg. This is due to high transaction costs, which are fueled by rising petrol and diesel prices.Fuel prices have risen for the 14th time in the last 15 days, with petrol and diesel prices increasing by Rs 10/litre in the last 16 days.With another hike of Rs 2.5/kg, Compressed Natural Gas (CNG) prices have increased by Rs 9.10/kg in the last six days.CNG now costs Rs 69.11/kg in Delhi.Watch | Is fuel price hike the only option? While the government claims to be working on the price increase issue, the Opposition has taken to the streets to protest rising prices. In Uttar Pradesh's Lucknow, Congress workers took to the streets and chanted anti-inflationary slogans.RJD leader Manjoj Jha told India Today that the ruling BJP was to blame for the price increase. ""The government is unconcerned about price increases. They are acting in an unconstitutional manner. The government is only concerned with dividing the country, not with inflation. They are well aware that they will get votes based on hatred.""""Isn't it a part of your concern to know how much trouble people are in,"" he asked the central government.Echoing the same sentiment, Congress Leader Jairam Ramesh said, ""The only reason the government is running away from the discussion on price rise issue is because they don't have an answer to the current crisis and they don't have a plan to deal with it.""Congress leader Adhir Ranjan Chowdhury also accused the government of failing to address the issue of inflation.He said, ""We have been asking for a discussion on public issues, but the government is not paying any heed. Since the government had no answer on inflation, they adjourned Parliament. They are making excuses. They are blaming the fuel price hike on the Russia-Ukraine war.""He also referred to the fuel price increase as a ""morning gift"" from the government.""It's quite ironic that the Finance Minister said they're getting crude oil at lower prices from Russia, but every day we get a morning gift in the form of a fuel price hike,"" he said.Read | Telangana minister KT Rama Rao accuses BJP of misleading nation over rising fuel pricesFrom Maruti Suzuki to JSW Steel, several companies are increasing the prices of their products in response to the global supply disruption.The Reserve Bank of India's (RBI) recent report underlines that manufacturing companies' expenditure on raw materials has spiked by 37 per cent from October-December compared to a year ago.""Steel has become the new gold, prices are fluctuating every day. We will see prices rising in days to come. Car manufacturers can also provide relief to the customer up to a certain extent, but raw material costs are rising exponentially because of which, the companies are forced to pass on the price rise to customers,"" Vinkesh Gulati, President, Federation of Automobile Dealers Associations told India Today.Maruti Suzuki India Ltd., the country's largest automaker, said in a statement that they are monitoring the situation and are not ruling out further price hikes.Steel prices have risen by Rs 2,500-3,000/tonne, raising manufacturing and construction costs and causing a domino effect. Steel-framed bicycles have seen a 30 to 35 per cent increase in price over the last year due to the rising cost of steel.Last year, the cost of a traditional black bicycle ranged from Rs 3,500 to Rs 4,000. The same bike now costs between Rs 4,500 and Rs 5,000.Russia is a major producer of steel, aluminium, and nickel, and the war has severely curtailed supply.Global steel prices have risen by more than 20 per cent in a week, while aluminium prices have increased by 40 per cent this year.While the government continues to claim that it is working to reduce prices, the common man is paying a high price for basic necessities. When will there be some respite? That is the question on everyone's mind.Read | Petrol, diesel prices: Why govt, oil companies are finding it difficult to control spike",Aishwarya Paliwal,https://www.indiatoday.in/india/story/price-hike-fuel-home-essentials-india-commoners-under-pressure-1935532-2022-04-09
3,"April 9, 2022",18:38 IST,India, ,Ration shops to soon be used for banking transactions,"Besides getting food grains, people will soon be able to carry out bank transactions at ration shops. The central government has identified the ration shop as a 'common service center' and approved the recruitment of its employees as 'bank allies', according to food department sources.A letter has been sent by the Ministry of Food and Public Distribution requesting the states to take an initiative to introduce this system soon.The initiative is aimed at strengthening the rural banking structure. Top leaders of Ration Shop organizations across India have been invited to Delhi to discuss the functioning of the new system, how banks will help ration shops, how much commission will be paid for the work and so on.They have already had meetings with Union Food Secretary Sudhanshu Pandey and Kanwaljit Shore, one of the top officials of the Punjab National Bank.According to the reports, they will also hold talks with other state-owned banks in the next few days.READ MORE: Noida: Twin tower demolition agencies issue advisory ahead of test blast on April 10",India Today Web Desk,https://www.indiatoday.in/india/story/ration-shops-to-soon-be-used-for-banking-transactions-1935530-2022-04-09
4,"April 9, 2022",17:54 IST,India, ,"Pinaka MK-I, Pinaka Area Denial Munition rocket systems successfully tested","Pinaka Mk-I (Enhanced) Rocket System (EPRS) and Pinaka Area Denial Munition (ADM) rocket systems have been successfully flight-tested by the Defence Research and Development Organisation (DRDO) and Indian Army at Pokhran firing ranges.A total of 24 EPRS rockets were fired for different ranges during the last fortnight. Required accuracy and consistency was achieved by the rockets meeting all trial objectives satisfactorily.With these trails, the initial phase of technology absorption of EPRS by the industry has successfully been completed and the industry partners are ready for user trials/series production of the rocket system.",Manjeet Negi,https://www.indiatoday.in/india/story/pinaka-mk-i-pinaka-area-denial-munition-rocket-systems-successfully-tested-1935517-2022-04-09
5,"April 9, 2022",17:47 IST,India, ,Kerala Bharatanatyam dancer denied temple performance books new show on same date,"Kerala's Bharatanatyam dancer Manisya VP, who was denied permission to perform at the Koodalmanikyam temple at Irinjalakuda in Thrissur, will perform in Kozhikode, the same day she was supposed to perform at the temple.The organisers, 'Manjadikkuru', said Mansiya has accepted their invitation to dance at the Town Hall in Kozhikode at 6 pm on April 21. Her performance will be part of a seminar titled 'mathethara devaswom nishedhicha nritham' (The dance denied by secular devaswom).According to Baiju Merikunnu, Convener of Manjadikkuru, in such cases, political parties usually rally behind the artist. This time, however, nothing of the sort happened.Manjadikkuru will also bear the costs of the performance. If Mansiya had danced at the temple, she would have had to pay for the percussionists, he said.Dancer Mansiya, who was supposed to perform at Koodalmanikyam temple fest to be held on April 24, was removed from the list of performers after she refused to conform to a religion. Mansiya was raised Muslim and currently identifies as a person without any religion.READ | Dancers boycott fest after Kerala temple bars artist over religionREAD | Poorakkali artist in Kerala banned from temple ritual over daughter-in-law’s religion",Rickson Oommen,https://www.indiatoday.in/india/story/kerala-bharatanatyam-dancer-denied-temple-performance-books-new-show-on-same-date-1935512-2022-04-09
6,"April 9, 2022",17:28 IST,India, ,AAP MLA Amanatullah Khan hospitalised with chest pain,Aam Aami Party (AAP) MLA Amanatullah Khan was rushed to the hospital on Saturday after he complained of chest pain.(This is a developing story. More information awaited),India Today Web Desk,https://www.indiatoday.in/india/story/aap-mla-amanatullah-khan-hospitalised-1935481-2022-04-09
7,"April 9, 2022",16:37 IST,India, ,ED attaches assets worth Rs 57.45 crore of Atlas Jewellery Pvt Ltd for defrauding bank,"The Enforcement Directorate (ED) has attached assets worth Rs 57.45 crore under the Prevention of Money Laundering Act (PMLA) in a bank fraud case against Atlas Jewellery Private Limited and its key executives MM Ramachandran, Indira Ramachandran, officials said.The attached assets include gold, silver, diamond jewelleries, silver articles, bank balance, fixed deposits and other immovable properties.The ED had initiated a money laundering investigation on the basis of an FIR registered by the Kerala Police against Atlas Jewellery, MM Ramachandran and Indira Ramachandran for cheating South Indian Bank’s Kerala branch.",Munish Chandra Pandey,https://www.indiatoday.in/india/story/ed-atlas-jewellery-pvt-ltd-defrauding-bank-1935478-2022-04-09
8,"April 9, 2022",16:05 IST,India, ,Patra Chawl land scam: ED says Pravin Raut ‘unable to explain’ Rs 95 cr received from HDIL | Full details of chargesheet,"A special court in Mumbai has taken cognizance of the chargesheet filed against businessman Pravin Raut, said to be a close aide of Shiv Sena MP Sanjay Raut, and the promoters of a company called HDIL - Rakesh and Sarang Wadhawan. The court has issued summons to the accused while the agency has said that it intends to continue with its probe and will be filing a supplementary chargesheet later.According to the prosecution complaint filed by the Enforcement Directorate (ED) before the special court under the Prevention of Money Laundering Act (PMLA) against Rs 95 crore received in Pravin Raut’s bank accounts from real estate company HDIL between 2008-2010. According to the agency, Raut has not been able to explain these transfers and the ED believes that these are proceeds of crime which pertained to a company called Guru Ashish construction Pvt Ltd.The prosecution complaint also mentions another company called Avani Infrastructure, a partnership firm which constructed a building in Santacruz West. According to the ED, MP Sanjay Raut’s wife Varsha Raut and Pravin Raut’s wife Madhuri Raut are partners. According to the agency, Varsha Raut’s capital investment was Rs 5,525 and her share of profit was Rs 14 lakh while Madhuri Raut’s investment was Rs 13.05 lakh and her share of profit was also Rs 14 lakh.",Vidya ,https://www.indiatoday.in/india/story/patra-chawl-land-scam-ed-pravin-raut-hdil-chargesheet-1935470-2022-04-09
9,"April 9, 2022",15:54 IST,India, ,Provide special considerations to students with low IQ: Kerala High Court to states,"Children who fall in the category of slow learners must be given the same facilities that are available for students with disabilities in the SSLC exams this year, the Kerala High Court instructed the state on Friday. This aid should be provided to students in all the remaining examinations.Students with IQ levels between 70 and 84 fall in the category of slow learners.The order was issued by the division bench based on a petition filed by Bibin KB, hailing from Thrissur and other class X students of CNN Boys Higher Secondary School, Cherpu, whose IQ levels are between 70 and 84. These students sought a court directive to the government to allow them and other children with similar disadvantages the same facilities now available to disabled persons while appearing for the examinations.Also Read: | Kerala HC refuses to stay fuel price hike by state's oil marketing companiesThe petitioners said that such children require assistance to take the Class 10 exams which are highly competitive and decisive for their future.The court, while observing that it is evident from the order issued by the state commissioner for persons with disabilities that children whose IQ levels are between 70 and 84 would fall under the category of slow learners, said that such children come under neither the intellectual disability category nor the specific learning disability category. The court also observed that these children require assistance.The director of health services has also issued orders to all educational institutions to convene an urgent medical board and issue certificates necessary for these children to get examination benefits on time.",Rickson Oommen,https://www.indiatoday.in/india/story/provide-special-considerations-to-students-with-low-iq-kerala-high-court-to-states-1935465-2022-04-09
